number,name,primary_type,secondary_type,total,hp,attack,defense,sp_atk,sp_def,speed,image_url
0001,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,https://img.pokemondb.net/artwork/bulbasaur.jpg
0002,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,https://img.pokemondb.net/artwork/ivysaur.jpg
0003,Venusaur,Grass,Poison,525,80,82,83,100,100,80,https://img.pokemondb.net/artwork/venusaur.jpg
0003,Venusaur,Grass,Poison,625,80,100,123,122,120,80,https://img.pokemondb.net/artwork/venusaur.jpg
0004,Charmander,Fire,none,309,39,52,43,60,50,65,https://img.pokemondb.net/artwork/charmander.jpg
0005,Charmeleon,Fire,none,405,58,64,58,80,65,80,https://img.pokemondb.net/artwork/charmeleon.jpg
0006,Charizard,Fire,Flying,534,78,84,78,109,85,100,https://img.pokemondb.net/artwork/charizard.jpg
0006,Charizard,Fire,Dragon,634,78,130,111,130,85,100,https://img.pokemondb.net/artwork/charizard.jpg
0006,Charizard,Fire,Flying,634,78,104,78,159,115,100,https://img.pokemondb.net/artwork/charizard.jpg
0007,Squirtle,Water,none,314,44,48,65,50,64,43,https://img.pokemondb.net/artwork/squirtle.jpg
0008,Wartortle,Water,none,405,59,63,80,65,80,58,https://img.pokemondb.net/artwork/wartortle.jpg
0009,Blastoise,Water,none,530,79,83,100,85,105,78,https://img.pokemondb.net/artwork/blastoise.jpg
0009,Blastoise,Water,none,630,79,103,120,135,115,78,https://img.pokemondb.net/artwork/blastoise.jpg
0010,Caterpie,Bug,none,195,45,30,35,20,20,45,https://img.pokemondb.net/artwork/caterpie.jpg
0011,Metapod,Bug,none,205,50,20,55,25,25,30,https://img.pokemondb.net/artwork/metapod.jpg
0012,Butterfree,Bug,Flying,395,60,45,50,90,80,70,https://img.pokemondb.net/artwork/butterfree.jpg
0013,Weedle,Bug,Poison,195,40,35,30,20,20,50,https://img.pokemondb.net/artwork/weedle.jpg
0014,Kakuna,Bug,Poison,205,45,25,50,25,25,35,https://img.pokemondb.net/artwork/kakuna.jpg
0015,Beedrill,Bug,Poison,395,65,90,40,45,80,75,https://img.pokemondb.net/artwork/beedrill.jpg
0015,Beedrill,Bug,Poison,495,65,150,40,15,80,145,https://img.pokemondb.net/artwork/beedrill.jpg
0016,Pidgey,Normal,Flying,251,40,45,40,35,35,56,https://img.pokemondb.net/artwork/pidgey.jpg
0017,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,https://img.pokemondb.net/artwork/pidgeotto.jpg
0018,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,https://img.pokemondb.net/artwork/pidgeot.jpg
0018,Pidgeot,Normal,Flying,579,83,80,80,135,80,121,https://img.pokemondb.net/artwork/pidgeot.jpg
0019,Rattata,Normal,none,253,30,56,35,25,35,72,https://img.pokemondb.net/artwork/rattata.jpg
0019,Rattata,Dark,Normal,253,30,56,35,25,35,72,https://img.pokemondb.net/artwork/rattata.jpg
0020,Raticate,Normal,none,413,55,81,60,50,70,97,https://img.pokemondb.net/artwork/raticate.jpg
0020,Raticate,Dark,Normal,413,75,71,70,40,80,77,https://img.pokemondb.net/artwork/raticate.jpg
0021,Spearow,Normal,Flying,262,40,60,30,31,31,70,https://img.pokemondb.net/artwork/spearow.jpg
0022,Fearow,Normal,Flying,442,65,90,65,61,61,100,https://img.pokemondb.net/artwork/fearow.jpg
0023,Ekans,Poison,none,288,35,60,44,40,54,55,https://img.pokemondb.net/artwork/ekans.jpg
0024,Arbok,Poison,none,448,60,95,69,65,79,80,https://img.pokemondb.net/artwork/arbok.jpg
0025,Pikachu,Electric,none,320,35,55,40,50,50,90,https://img.pokemondb.net/artwork/pikachu.jpg
0025,Pikachu,Electric,none,430,45,80,50,75,60,120,https://img.pokemondb.net/artwork/pikachu.jpg
0026,Raichu,Electric,none,485,60,90,55,90,80,110,https://img.pokemondb.net/artwork/raichu.jpg
0026,Raichu,Electric,Psychic,485,60,85,50,95,85,110,https://img.pokemondb.net/artwork/raichu.jpg
0027,Sandshrew,Ground,none,300,50,75,85,20,30,40,https://img.pokemondb.net/artwork/sandshrew.jpg
0027,Sandshrew,Ice,Steel,300,50,75,90,10,35,40,https://img.pokemondb.net/artwork/sandshrew.jpg
0028,Sandslash,Ground,none,450,75,100,110,45,55,65,https://img.pokemondb.net/artwork/sandslash.jpg
0028,Sandslash,Ice,Steel,450,75,100,120,25,65,65,https://img.pokemondb.net/artwork/sandslash.jpg
0029,Nidoran♀,Poison,none,275,55,47,52,40,40,41,
0030,Nidorina,Poison,none,365,70,62,67,55,55,56,https://img.pokemondb.net/artwork/nidorina.jpg
0031,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,https://img.pokemondb.net/artwork/nidoqueen.jpg
0032,Nidoran♂,Poison,none,273,46,57,40,40,40,50,
0033,Nidorino,Poison,none,365,61,72,57,55,55,65,https://img.pokemondb.net/artwork/nidorino.jpg
0034,Nidoking,Poison,Ground,505,81,102,77,85,75,85,https://img.pokemondb.net/artwork/nidoking.jpg
0035,Clefairy,Fairy,none,323,70,45,48,60,65,35,https://img.pokemondb.net/artwork/clefairy.jpg
0036,Clefable,Fairy,none,483,95,70,73,95,90,60,https://img.pokemondb.net/artwork/clefable.jpg
0037,Vulpix,Fire,none,299,38,41,40,50,65,65,https://img.pokemondb.net/artwork/vulpix.jpg
0037,Vulpix,Ice,none,299,38,41,40,50,65,65,https://img.pokemondb.net/artwork/vulpix.jpg
0038,Ninetales,Fire,none,505,73,76,75,81,100,100,https://img.pokemondb.net/artwork/ninetales.jpg
0038,Ninetales,Ice,Fairy,505,73,67,75,81,100,109,https://img.pokemondb.net/artwork/ninetales.jpg
0039,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,https://img.pokemondb.net/artwork/jigglypuff.jpg
0040,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,https://img.pokemondb.net/artwork/wigglytuff.jpg
0041,Zubat,Poison,Flying,245,40,45,35,30,40,55,https://img.pokemondb.net/artwork/zubat.jpg
0042,Golbat,Poison,Flying,455,75,80,70,65,75,90,https://img.pokemondb.net/artwork/golbat.jpg
0043,Oddish,Grass,Poison,320,45,50,55,75,65,30,https://img.pokemondb.net/artwork/oddish.jpg
0044,Gloom,Grass,Poison,395,60,65,70,85,75,40,https://img.pokemondb.net/artwork/gloom.jpg
0045,Vileplume,Grass,Poison,490,75,80,85,110,90,50,https://img.pokemondb.net/artwork/vileplume.jpg
0046,Paras,Bug,Grass,285,35,70,55,45,55,25,https://img.pokemondb.net/artwork/paras.jpg
0047,Parasect,Bug,Grass,405,60,95,80,60,80,30,https://img.pokemondb.net/artwork/parasect.jpg
0048,Venonat,Bug,Poison,305,60,55,50,40,55,45,https://img.pokemondb.net/artwork/venonat.jpg
0049,Venomoth,Bug,Poison,450,70,65,60,90,75,90,https://img.pokemondb.net/artwork/venomoth.jpg
0050,Diglett,Ground,none,265,10,55,25,35,45,95,https://img.pokemondb.net/artwork/diglett.jpg
0050,Diglett,Ground,Steel,265,10,55,30,35,45,90,https://img.pokemondb.net/artwork/diglett.jpg
0051,Dugtrio,Ground,none,425,35,100,50,50,70,120,https://img.pokemondb.net/artwork/dugtrio.jpg
0051,Dugtrio,Ground,Steel,425,35,100,60,50,70,110,https://img.pokemondb.net/artwork/dugtrio.jpg
0052,Meowth,Normal,none,290,40,45,35,40,40,90,https://img.pokemondb.net/artwork/meowth.jpg
0052,Meowth,Dark,none,290,40,35,35,50,40,90,https://img.pokemondb.net/artwork/meowth.jpg
0052,Meowth,Steel,none,290,50,65,55,40,40,40,https://img.pokemondb.net/artwork/meowth.jpg
0053,Persian,Normal,none,440,65,70,60,65,65,115,https://img.pokemondb.net/artwork/persian.jpg
0053,Persian,Dark,none,440,65,60,60,75,65,115,https://img.pokemondb.net/artwork/persian.jpg
0054,Psyduck,Water,none,320,50,52,48,65,50,55,https://img.pokemondb.net/artwork/psyduck.jpg
0055,Golduck,Water,none,500,80,82,78,95,80,85,https://img.pokemondb.net/artwork/golduck.jpg
0056,Mankey,Fighting,none,305,40,80,35,35,45,70,https://img.pokemondb.net/artwork/mankey.jpg
0057,Primeape,Fighting,none,455,65,105,60,60,70,95,https://img.pokemondb.net/artwork/primeape.jpg
0058,Growlithe,Fire,none,350,55,70,45,70,50,60,https://img.pokemondb.net/artwork/growlithe.jpg
0058,Growlithe,Fire,Rock,350,60,75,45,65,50,55,https://img.pokemondb.net/artwork/growlithe.jpg
0059,Arcanine,Fire,none,555,90,110,80,100,80,95,https://img.pokemondb.net/artwork/arcanine.jpg
0059,Arcanine,Fire,Rock,555,95,115,80,95,80,90,https://img.pokemondb.net/artwork/arcanine.jpg
0060,Poliwag,Water,none,300,40,50,40,40,40,90,https://img.pokemondb.net/artwork/poliwag.jpg
0061,Poliwhirl,Water,none,385,65,65,65,50,50,90,https://img.pokemondb.net/artwork/poliwhirl.jpg
0062,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,https://img.pokemondb.net/artwork/poliwrath.jpg
0063,Abra,Psychic,none,310,25,20,15,105,55,90,https://img.pokemondb.net/artwork/abra.jpg
0064,Kadabra,Psychic,none,400,40,35,30,120,70,105,https://img.pokemondb.net/artwork/kadabra.jpg
